5060, 'ovary', 'artery', 0.0
5095, 'heart', 'lung', 0.0
5123, 'esophagus', 'stomach', 0.0
5139, 'testis', 'adipose', 0.0
5152, 'artery', 'heart', 0.0
5163, 'esophagus', 'adipose', 0.0
5200, 'adipose', 'breast', 0.0
5201, 'esophagus', 'breast', 0.0
5241, 'adipose', 'breast', 0.0
5256, 'artery', 'heart', 0.0
5263, 'esophagus', 'colon', 0.0
5273, 'small', 'colon', 0.0
5329, 'esophagus', 'breast', 0.0
5380, 'esophagus', 'colon', 0.0
5399, 'small', 'esophagus', 0.0
5446, 'thyroid', 'pancreas', 0.0
5447, 'adipose', 'heart', 0.0
5453, 'small', 'colon', 0.0
5465, 'adipose', 'heart', 0.0
5488, 'artery', 'adipose', 0.0
5494, 'esophagus', 'adipose', 0.0
5623, 'adipose', 'breast', 0.0
5633, 'adipose', 'breast', 0.0
5647, 'artery', 'heart', 0.0
5669, 'adipose', 'breast', 0.0
5674, 'skin', 'muscle', 0.0
5683, 'adipose', 'breast', 0.0
5772, 'breast', 'adipose', 0.0
5778, 'skin', 'esophagus', 0.0
5784, 'nerve', 'brain', 0.0
5802, 'breast', 'lung', 0.0
5840, 'nerve', 'adipose', 0.0
5927, 'small', 'colon', 0.0
5935, 'esophagus', 'heart', 0.0
6016, 'nerve', 'adipose', 0.0
6020, 'esophagus', 'colon', 0.0
6061, 'adipose', 'breast', 0.0
6080, 'artery', 'adipose', 0.0
6091, 'nerve', 'adipose', 0.0
6110, 'breast', 'adipose', 0.0
6113, 'artery', 'heart', 0.0
6164, 'colon', 'artery', 0.0
6169, 'esophagus', 'colon', 0.0
6174, 'adipose', 'breast', 0.0
6196, 'esophagus', 'colon', 0.0
6243, 'esophagus', 'colon', 0.0
6276, 'esophagus', 'adipose', 0.0
6284, 'nerve', 'heart', 0.0
6286, 'esophagus', 'colon', 0.0
6307, 'skin', 'cells', 0.0
6309, 'adipose', 'breast', 0.0
6340, 'adipose', 'breast', 0.0
6347, 'breast', 'adipose', 0.0
6352, 'nerve', 'heart', 0.0
6356, 'adipose', 'breast', 0.0
6387, 'stomach', 'colon', 0.0
6403, 'artery', 'adipose', 0.0
6437, 'adipose', 'heart', 0.0
6453, 'esophagus', 'adipose', 0.0
6490, 'adipose', 'breast', 0.0
6497, 'breast', 'adipose', 0.0
6498, 'adipose', 'breast', 0.0
6516, 'artery', 'adipose', 0.0
6537, 'esophagus', 'colon', 0.0
6543, 'adipose', 'breast', 0.0
6618, 'adipose', 'breast', 0.0
6667, 'liver', 'colon', 0.0
6688, 'adipose', 'heart', 0.0
6704, 'breast', 'adipose', 0.0
6706, 'ovary', 'artery', 0.0
6738, 'esophagus', 'colon', 0.0
6748, 'lung', 'whole', 0.0
6760, 'esophagus', 'stomach', 0.0
6763, 'artery', 'heart', 0.0
6797, 'breast', 'adipose', 0.0
6808, 'esophagus', 'colon', 0.0
6858, 'adipose', 'breast', 0.0
6883, 'artery', 'adipose', 0.0
6888, 'adipose', 'breast', 0.0
6901, 'esophagus', 'colon', 0.0
6906, 'adipose', 'breast', 0.0
6949, 'adipose', 'breast', 0.0
6977, 'adipose', 'breast', 0.0
6998, 'artery', 'adipose', 0.0
7085, 'skin', 'whole', 0.0
7103, 'breast', 'adipose', 0.0
7128, 'heart', 'adipose', 0.0
7152, 'nerve', 'skin', 0.0
7185, 'esophagus', 'artery', 0.0
7221, 'esophagus', 'colon', 0.0
7293, 'artery', 'heart', 0.0
7296, 'adipose', 'breast', 0.0
7313, 'adipose', 'breast', 0.0
7326, 'esophagus', 'adipose', 0.0
7398, 'breast', 'adipose', 0.0
7407, 'artery', 'heart', 0.0
7508, 'adipose', 'breast', 0.0
7541, 'adipose', 'breast', 0.0
7587, 'stomach', 'colon', 0.0
7640, 'adipose', 'breast', 0.0
7647, 'colon', 'adipose', 0.0
7704, 'lung', 'heart', 0.0
7729, 'lung', 'whole', 0.0
7745, 'esophagus', 'lung', 0.0
7753, 'esophagus', 'adipose', 0.0
7788, 'esophagus', 'colon', 0.0
7790, 'esophagus', 'breast', 0.0
7809, 'esophagus', 'uterus', 0.0
7810, 'muscle', 'adipose', 0.0
7855, 'esophagus', 'vagina', 0.0
7876, 'breast', 'adipose', 0.0
7883, 'skin', 'brain', 0.0
7891, 'small', 'colon', 0.0
7901, 'minor', 'adipose', 0.0
7908, 'adipose', 'heart', 0.0
7909, 'adipose', 'breast', 0.0
8015, 'stomach', 'esophagus', 0.0
8044, 'lung', 'heart', 0.0
8150, 'minor', 'artery', 0.0
8232, 'ovary', 'breast', 0.0
8233, 'adipose', 'breast', 0.0
8234, 'nerve', 'adipose', 0.0
8254, 'skin', 'adipose', 0.0
8263, 'esophagus', 'colon', 0.0
8280, 'testis', 'esophagus', 0.0
8317, 'esophagus', 'colon', 0.0
8332, 'esophagus', 'colon', 0.0
8342, 'adipose', 'heart', 0.0
8357, 'esophagus', 'stomach', 0.0
8359, 'adipose', 'heart', 0.0
8476, 'esophagus', 'colon', 0.0
8483, 'adipose', 'breast', 0.0
8491, 'adipose', 'breast', 0.0
8514, 'adipose', 'breast', 0.0
8517, 'lung', 'heart', 0.0
